"accessno","author"
"0000050021","Orosa, Sixto Y."
"0000050021","Orosa, Severino L."
"0000050021","Orosa, Rosalinda"
"0000050022","Flora, Alegria S."
"0000050022","Gasingan, Myrna de Leon"
"0000050023","Dionisia, Purita G."
"0000050024","Dionisio, Purita G."
"0000050025","Caday, Jane G."
"0000050025","Dionisio, Purita G."
"0000050026","Oandasan, Rebecca S.J."
"0000050027","Dellosa, Zenaida T."
"0000050028","Agda, Milagros G."
"0000050029","Fabregas, Aleta C."
"0000050029","Salvador, Nadia Dane O."
"0000050030","Caceres, Jocelyn R."
"0000050030","Macasio, John J."
"0000050031","Santiago, Jocelyn H."
"0000050032","Arcinas, Raquel S."
"0000050032","Padua, Shirley"
"0000050033","Jalandoni, Celestina N."
"0000050034","Ordona, Leonor L."
"0000050034","de Castro, Felicitas V."
"0000050035","Sy, Mary Joy H."
"0000050035","Lenon, Nolan M."
"0000050035","Lim, Lorraine H."
"0000050036","Sy, Mary Joy H."
"0000050036","Lenon, Nolan M."
"0000050036","Lim, Lorraine H."
"0000050037","Abando, Araceli M."
"0000050038","Canlas, Rosita E."
"0000050039","Escober, Rosicar E."
"0000050039","Monzon, Demelyn L."
"0000050040","Espiritu, Violeta"
"0000050041","Gonzalo, Bernardita"
"0000050042","Villanueva, Ma. Jamela F."
"0000050043","Javier, Jesus Q."
"0000050044","Munoz, Medardo C."
"0000050045","Espiritu, Violeta"
"0000007000","Padasas, Teresita P."
"0000007000","Arlette R. Paguingan"
"0000007001","Domingo, Lorna"
"0000007001","Cecille B. Corsino"
"0000007003","Art Test"
"0000007003","Test"
"0000007005","Punsalan, Twila G."
"0000007007","Calamlam, Josephine M."
"0000007007","Flora, Alegria S."
"0000007008","Domingo, Lorna"
"0000000709","Domingo, Lorna"
"0000007010","Domingo, Lorna"
"0000007014","Cruz, Cecilia D."
"0000007014","Cacho, Rebecca G."
"0000007015","Singson, Elvira B."
"0000007016","Borlagdan, Jean B."
"0000007016","Dela Cruz, Susan P."
"0000007017","Balagtas, Manilyn U."
"0000007017","Natal, Lourdes L,."
"0000007018","Borlagdan, Jean B."
"0000007019","Calamlam, Josephine N."
"0000007019","Mallari, Josephine M."
"0000007020","Almonte, Andrew Maria"
"0000007021","Daza, Nora V."
"0000007022","Domingo, Lorna"
"0000007022","Corsino, Cecille B."
"0000007023","Padasas, Teresita P."
"0000007023","Paguingan, Arlette R."
"0000007024","Dickens, Charles"
"0000007025","Cooper, Fenimore"
"0000007026","Coville, Bruce"
"0000007027","Coville, Bruce"
"0000007028","Kendall, Carol"
"0000007030","Gardner,  J.J."
"0000007031","Gilmour, H.B."
"0000007032","Coville's, Bruce"
"0000007033","Gray, Elizabeth Janet"
"0000007034","Shakespeare, William"
"0000007035","Shakespeare, William"
"0000007036","Samson, Alexander R."
"0000007036","Caceres, Jocelyn S."
"0000007037","Shakespeare, William"
"0000007038","Blyton, Guid"
"0000007039","Blyton, Guid"
"0000007040","Blyton, Guid"
"0000007041","Blyton, Guid"
"0000007042","Blyton, Guid"
"0000007043","Blyton, Guid"
"0000007044","Blyton, Guid"
"0000007045","Blyton, Guid"
"0000007046","Chrichton, Michael"
"0000007047","Tapiador, Gerardo R."
"0000007048","Maramba, Asuncion D., ed."
"0000007049","Asay, Rolando A."
"0000007050","Coralejo, Victoria A."
"0000007051","Mortola, Roseni G."
"0000007052","Maribojoc, Lydia G."
"0000007053","Baterna, Nilda Ortiz"
"0000007054","Coralejo, Victoria A."
"0000007055","Tiburcio, Emiterio L. comp."
"0000007056","Santiago, Bernardita P."
"0000007057","Rumusud, Aurelia B."
"0000007058","Punsalan, Twila G."
"0000007059","Cornish, F.H."
"0000007060","Wright, Bob"
"0000007061","Santiago, Aurora L."
"0000007062","Nolledo, Jose N."
"0000007063","Santos, Rosario"
"0000007065","Villacorte, Rolando E."
"0000007066","Belita, Jaime CM"
"0000007070","Mendoza, Amado M."
"0000007071","ed. by La Vina, Antonio G.M."
"0000007072","Leuterio, Florida C."
"0000007073","Gonzales, Andrew FSC"
"0000007074","Zaide, Sonia M."
"0000007075","Guerra, Restituta S."
"0000007077","Andres, Tomas Q."
"0000007078","Eugenio, Marites A."
"0000007078","Pineda, Dorina"
"0000007079","Sotto, Vicente C. lll"
"0000007080","Basbas, Leonora D."
"0000007080","Soriano, Nora N."
"0000007081","Gonzalez, Andrew, FSC"
"0000007082","Villamil, Aurora M."
"0000007082","Gerona, Zonia M."
"0000007083","Sandoval, Ma. Teresa G."
"0000007084","Basbas, Leonora D."
"0000007085","Carmona, Demetrio M. SDB"
"0000007086","Aquino, Gaudencio P."
"0000007087","Carmona, Demetrio M."
"0000007088","Caseres, Jocelyn S."
"0000007088","Macasio John J."
"0000007089","Tuvilla, Ma. Victoria L."
"0000007090","Monsernate, Edita C."
"0000007090","Ledesma, Consuelo P."
"0000007090","Cawagas, Virginia F."
"0000007091","Pedrajas, Teresita P."
"0000007092","Jacala, Nonita R."
"0000007093","Tuvilla, Ma. Victoria L."
"0000007094","Rallos, Ma. Zilpha Palma"
"0000007095","Pedrajas, Teresita P."
"0000007096","ed. by Folkard, Claire"
"0000007097","none"
"0000007098","Punsalan, Twila Gaerlan"
"0000007098","Reyes, Wilma S."
"0000007099","Bautista, Evangeline P."
"0000007099","O'dell, Isabela C."
"0000007099","Salac, Herminigi C.lda"
"0000007100","Samson, Alexander P."
"0000007100","Caceres, Jocelyn R."
"0000007100","Macasio, John J."
"0000007101","Manaoag, Jesus C."
"0000007101","Agbuya, Grace C."
"0000007102","Morilla, Faith Febes D.G."
"0000007102","De Guzman, Ines A."
"0000007103","Tuvilla, Ma. Victoria L."
"0000007104","Gorospe, Evelyn O."
"0000007104","Gorospe, Adonis Abelardo"
"0000007105","Gorospe, Evelyn O."
"0000007106","Rionda, Carolina S.A"
"0000007106","Gabriel, Josefina P."
"0000007107","Salibay, Esteban T., Jr."
"0000007107","Agbuya, Grace G."
"0000007108","Agbuya, Grace C."
"0000007109","Gornes, Ma. Herminia G., RVM"
"0000007110","Dela Cruz, Mercedita R."
"0000007111","Martin, Ann M."
"0000007112","Bergado, Mercedes Z."
"0000007113","Blanco, Marivi S."
"0000007114","Dickinson, Peter"
"0000007115","Hugo, Victor"
"0000007116","Hugo, Victor"
"0000007117","Melville, Herman"
"0000007118","Shakespeare, William"
"0000007120","Shakespeare, William"
"0000007121","Shakespeare, William"
"0000007122","Shelley, Mary W."
"0000007123","Soliven, Marivi V."
"0000007124","Soliven, Marivi V."
"0000007125","Twain, Mark"
"0000007126","none"
"0000007127","None"
"0000007128","none"
"0000007129","none"
"0000007130","none"
"0000007131","none"
"0000007133","Doleman, Edgar C., Jr."
"0000007134","Science"
"0000007134","Nature"
"0000007135","McPolin, James"
"0000007136","Youngs, Bettie B."
"0000007137","Wallechinsky, David"
"0000007139","Warbrick, Sarah"
"0000007140","none"
"0000007141","Aquino, Gaudencio"
"0000007142","Amery, Heather"
"0000007143","Bennett, David"
"0000007145","Garcia, Crispina C."
"0000007145","Arguelles, Caridad A."
"0000007145","Elechicon, Bella M."
"0000007145","Andin, Carmen T."
"0000007146","Footman, Tim"
"0000007147","Kerrod, Robin"
"0000007148","Brunner, Borgna"
"0000007149","Cook, Chris"
"0000007149","Paxton, John"
"0000007150","none"
"0000007151","Bucki, Lisa"
"0000007152","Mc Polin, James"
"0000007153","none"
"0000007154","none"
"0000007156","none"
"0000007159","Quito, Rosario S."
"0000007160","David, Asuncion"
"0000007157","Youngs, Bettie B."
"0000007161","Youngs, Bettie B."
"0000007162","Aurelio, John"
"0000007163","Canfield, Jack"
"0000007163","Hansen, Mark Victor"
"0000007163","Kirberger, Kimberly"
"0000007164","Jasmine, Julia"
