"accessno","author"
"0000007558","Bath, Michael"
"0000007559","Hardy, Thomas"
"0000007560","none"
"0000007561","Hairston, Maxine"
"0000007562","Ramsey, William L."
"0000007563","Racinet, A."
"0000007564","Dworetzky, John"
"0000007565","Gupta, Vijaya"
"0000007566","Otto, James H."
"0000007567","Carmona, Demetrio M., SDB"
"0000007568","none"
"0000007569","Meadows, Jack"
"0000007570","none"
"0000007571","none"
"0000007572","Armstrong, Thomas"
"0000007573","none"
"0000007574","Yenne, Bill"
"0000007575","Yenne, Bill"
"0000007576","Rolka, Gail Meyer"
"0000007577","Beckner, Chrisanne"
"0000007578","Yenne, Bill"
"0000007579","Yenne, Bill"
"0000007580","Krall, Sarah"
"0000007581","none"
"0000007582","Madaan, Anil"
"0000007583","none"
"0000007584","none"
"0000007585","none"
"0000007586","Cabading, Lourdes A."
"0000007587","Wild, Ray"
"0000007588","Colla, Luc  CICM"
"0000007589","Colla, Luc  CICM"
"0000007590","Villaflores, Nieves S."
"0000007591","None"
"0000007592","Santos, Gil Nonato C."
"0000007593","Rotor, A. B."
"0000007594","None"
"0000007595","Miller, Kenneth R."
"0000007596","Mendoza, Estrella E."
"0000007597","McFarland, Dora"
"0000007598","Lumabas, Rogelio S."
"0000007599","LeMay, H. Eugene Jr."
"0000007600","Hildebrand, Verna"
"0000007601","Clemens,Stanley R."
"0000007602","Winter, Gibson"
"0000007603","Roche, Joseph L., SJ"
"0000007604","Shakespeare, William"
"0000007604","Barbara Mowat"
"0000007605","Shakespeare, William"
"0000007605","Barbara A. Mowat"
"0000007606","Shakespeare, William"
"0000007607","Silberschatz, Abraham"
"0000007607","Peter Baer Galvin"
"0000007608","Sethi, Ravi"
"0000007609","Slater, LisaC."
"0000007609","Steven E. Arnott"
"0000007611","Stallings , william"
"0000007612","Swartzfager, Gene"
"0000007613","Sebesta, Robert W."
"0000007614","Sebesta, Robert W."
"0000007616","Mendiola, Cecilia"
"0000007617","Savitch Walter J."
"0000007618","None"
"0000007619","Lazatin, Josephine F."
"0000007620","Logue, Concordia C."
"0000007621","Maminta, Rosario E."
"0000007626","Maminta, Rosario E."
"0000007627","Maminta, Rosario E."
"0000007628","Marzo, May G."
"0000007629","Mendoza, Elena A."
"0000007630","Villaflores, Nieves S."
"0000007633","Sandler, Corey"
"0000007634","Sanford, Clive C."
"0000007636","Villaflores, Nieves S."
"0000007637","Milaflores, Nicol"
"0000007638","Minez, Annie R."
"0000007639","Menez, Annie R."
"0000007640","Morano, Perla B."
"0000007641","Vicencio, Evelina M."
"0000007642","Bass, Laurie E."
"0000007643","Polotan, Kerima"
"0000007644","Abdelnoor, R. E. Jason"
"0000007645","Barron, Marlene"
"0000007646","Barron, Marlene"
"0000007648","Barron, Marlene"
"0000007649","Barron, Marlene"
"0000007650","Kolman, Bernard"
"0000007651","Kee, Howard Clark"
"0000007652","Peters, Thomas J."
"0000007653","None"
"0000007654","None"
"0000007655","Sharma, B. M."
"0000007656","None"
"0000007657","Wiggins, Grant P."
"0000007658","Nicdao, Ruth Merilyn N."
"0000007658","Butaran, Rosario B."
"0000007658","Elazegui, Julieta B."
"0000007659","Williams, Al"
"0000007660","Haycock, Kate"
"0000007661","Hanna, David P."
"0000007662","None"
"0000007663","None"
"0000007664","Jensen, Eric"
"0000007666","Torralba, Antonio N."
"0000007667","Savitch, Walter J."
"0000007668","Savitch, Walter J."
"0000007675","Rivadelo, Rosita F."
"0000007677","Parsons, Stephen"
"0000007678","Jasmne, Julia"
"0000007676","None"
"0000007688","Ryan, Concetta D."
"0000007689","Grisham, Dana L."
"0000007690","None"
"0000007691","Scanlon, Leo J."
"0000007693","Shakespeare, William"
"0000007694","Schwartz, Richard"
"0000007695","Shelly, Gary B."
"0000007695","Thomas J. Cashman"
"0000007695","Kevin M. Gleason"
"0000007696","Shelly, Gary B."
"0000007696","Thomas J. Cashman"
"0000007696","Gloria A. Waggoner"
"0000007696","Willioam C. Waggoner"
"0000007697","Somerset Fry, Fiona"
"0000007698","Somerset Fry, Fiona"
"0000007699","Styevenson, Robert Louis"
"0000007702","Haye, Leo"
"0000007705","Lial, Margaret L."
"0000007706","Clark, Colin"
"0000007707","Hurst,  Brother Hugo L. ,CFX"
"0000007709","Harina, Ricardo M."
"0000007710","Henry, D.P."
"0000007711","Hardy, Richard P."
"0000007713","Zablan, Emma S."
"0000007712","Hinnebusch, Paul"
"0000007714","Hendrick, Herman"
"0000007715","None"
"0000007717","Sher, Barbara"
"0000007718","Bates, Jane K."
"0000007719","Price, Kaye M."
"0000007720","McLeod, Fiona"
"0000007721","Esler, William K."
"0000007722","Jackman, Hilda R."
"0000007723","Hoffer, Alan R."
"0000007723","Roberto, Ross"
"0000007724","Horney, Karen, M.D"
"0000007725","Hughes, Longston"
"0000007726","Hawes, Charles Boardman"
"0000007727","Hawes, Charles Boaardman"
"0000007731","Hardy Thomas"
"0000007731","Pichard C. carpenter"
"0000007733","Andal, Erlinda F."
"0000007734","Castano, Paulina M., et al."
"0000007735","Guerra, Restituta San Pedro"
"0000007736","Castano, Paulina M. et al."
"0000007737","Castano, Paulina M., et al"
"0000007738","Castano, Paulina M., et al"
"0000007739","Mendoza, Laura Z."
"0000007740","Antonio, Eleanor D., et al"
"0000007741","Battad, Teresita T."
"0000007742","Danao, Carolina P."
"0000007743","Lalunio, Lydia P., et al"
"0000007744","Flores, Cresencia V."
"0000007745","Reyes, Rey R."
"0000007746","Mendoza, Laura Z."
"0000007747","Milambiling, Ruben M."
"0000007748","Carlos, Gladys A., et al."
"0000007749","Antonio Eleonor D., et al."
"0000007750","Garcia, Crispin T."
"0000007751","Danao, Carolina P."
"0000007752","Badua, Quirino E."
"0000007753","Dimayuga, Teresita F."
"0000007754","Mendoza, Laura Z."
"0000007755","Perez, Imelda Q."
"0000007756","Dimayuga, Teresita F."
"0000007757","Antonio, Eleonor D., et al"
"0000007758","Mojica, Leonisa A., et al"
"0000007759","Mariano, Angelita"
"0000007760","Danao, Carolina P."
"0000007761","Reynaldo, Natividad A."
"0000007762","Danao, Carolina P."
"0000007763","Libunao, Lydia L., et al."
"0000007764","Castillo, Pamela R."
"0000007765","Estella, Ethel H."
"0000007766","Cruz, Elvira E."
"0000007767","Rasalan, Elizabeth S."
"0000007768","Baterna, Nilda"
"0000007769","Mendoza, Laura Z."
"0000007770","Mendoza, Laura Z."
"0000007771","Anda, Menardo O."
"0000007772","Mendoza, Laura Z."
"0000007773","Mendoza, Laura Z."
"0000007774","Cutiongco,Elena C."
"0000007775","Mendoza, Laura Z."
"0000007776","Baira, Nena T."
"0000007777","Dizon, Priscila B."
"0000007778","Golloso, Rosella N., et al"
"0000007779","Dimayuga, Teresita S."
"0000007780","Anda, Menardo O."
"0000007781","Guerra, Restituta San Pedro."
"0000007782","Bilgera, Melchora D."
"0000007783","Garcia, Dolores S."
"0000007784","Borjal, Wilhelmina G. et al."
"0000007785","Bilgera, Melchora D. et al."
"0000007786","Cutiongco, Elena C,"
"0000007787","Villamin, Araceli M."
"0000007788","Pineda, Osmunda L."
"0000007789","Ching, Isabelita D."
"0000007790","Pineda, Osmunda L."
"0000007791","Borabo, Milagros L., et al."
"0000007792","Cruz, Enerita Q., et al"
"0000007793","Pangilinan, Efigenia P., et al"
"0000007794","Angeles, Evelyn P."
"0000007795","Angeles, Evelyn B."
"0000007796","Angeles, Evelyn P."
"0000007797","Angeles, Evelyn B."
"0000007798","Padilla, Cabrina H."
"0000007799","Padilla, Cabrina H."
"0000007800","Hermosa, Nemah N."
"0000007801","Badiola, Emma V."
"0000007802","Sangalang,Myrna R., et al"
"0000007803","Ruiz, Jane Q., et al"
"0000007804","San Jose, Delia J., et al"
"0000007805","Jadrin, Melinda D.C."
"0000007806","Bilgera, Melchora D., et al"
"0000007807","Gil, Avelina J."
"0000007808","Hardy, Thomas"
"0000007809","Hhanrieder, Wolfram"
"0000007810","Hestenes, Marshall D."
"0000007811","Hernandez, Rogelio M."
"0000007812","Havener, Ivan"
"0000007814","Abot, Carmelita P., et al"
"0000007815","Borjal, Wilhelmina G., et al"
"0000007816","Anastacio, Teresita M."
"0000007817","Hermosa, Nemah N."
"0000007818","Tintero, Felipa., et al"
"0000007819","Borjal, Wilhelmina G., et al"
"0000007821","Rubrica, Marcelina A., et al"
"0000007822","Gil, Avelina J., et al"
"0000007823","Morano, Perla B."
"0000007824","Bilgera, Melchora D. et al"
"0000007825","Gil, Avelina J."
"0000007826","Villamin, Araceli"
"0000007827"," Dixon , Franklin W."
"0000007828","Stahl, Lesley"
"0000007829","None"
"0000007830","none"
"0000007831","none"
"0000007833","None"
"0000007834","Villafuerte,Pat V."
"0000007832","Aldersey-Williams,Hugh"
"0000007835","none"
"0000007836","Delos Santos, Ricardo B."
"0000007837","Religioso, Teresita F."
"0000007838","Capco, Carmelita M."
"0000007839","Ibe, Milagros D."
"0000007840","Lionko, Aurora A."
"0000007841","none"
"0000007842","none"
"0000007843","none"
"0000007844","none"
"0000007845","none"
"0000007846","Rizal, Jose P."
"0000007847","Flores, Nancy D."
"0000007848","Sebastian,Victoria V."
"0000007849","Rowling, J. K."
"0000007850","Villegas,Enedina G."
"0000007852","Santos, Gil Nonato C."
"0000007853","Santos, Gil Nonato C."
"0000007854","Santos, Gil Nonato C."
"0000007855","Religioso, Teresita F."
"0000007856","Ramos, Bess C."
"0000007857","none"
"0000007858","De Guzman, Dionisia G."
"0000007859","Rabago, Lilia M."
"0000007860","Pedredosa, Elma F."
"0000007861","Deauna, Melecio C."
"0000007862","Vico,Lorelie"
"0000007863","Vico,Lorelie"
"0000007864","Vico,Lorelie"
"0000007866","Dy, Eben S."
"0000007867","Tengson,Devora B."
"0000007868","George M. Gazda"
"0000007867","Tengson,Devora B."
"0000007870","Asuncion, Ramon G."
"0000007871","Bernabe, Julieta G."
"0000007872","Coronel, Iluminada C., F. M. M."
"0000007869","Hewitt, Paul  G."
"0000007873","Coronel, Iluminada C., F. M. M."
"0000007879","Tengson,Devora B."
"0000007880","Samson,Alexander R."
"0000007880","Casenes,Jocelyn S."
"0000007880","Macasio,John J."
"0000007881","San Jose,Ronaldo M."
"0000007881","Ocampo,Anthony C."
"0000007881","Vicente,Jimmy S."
"0000007882","San Jose,Ronaldo M."
"0000007882","Ocampo,Anthony C."
"0000007882","Vicente,Jimmy C."
"0000007883","Santiago,Marilou R."
"0000007883","Manacsa,Flelicitas Ramos"
"0000007883","Pagulayan"
"0000000000","Misa,Estrellita L."
"0000000000","Li,Bernardino Q."
"0000007887","Santiago,Marilou R."
"0000007887","Manacsa,Felicitas Ramos"
"0000007888","Matute,Genoveva Edroza"
"0000007889","Matute,Genoveva Edroza"
"0000007890","Mejillano,Evelina A."
"0000007890","Parro,Alicia N."
"0000007890","Dizon,Evelyn C."
"0000007890","Gulpeo,Roberto P."
"0000007891","Mangubat , B."
"0000007891","Vill , P."
"0000007892","Samson,Alexander R."
"0000007892","Caceres,Jocelyn S."
"0000007892","Macasio,John J."
"0000007893","Vico , Lorelei"
"0000007894","Sales , Diana L."
"0000007895","Cruz , Oscar V. , DD"
"0000007896","Colla, Luc, CICM"
"0000007898","Salac,Herminigilda , C."
"0000007899","Litong, Domingo"
"0000007900","Litong, Domingo"
"0000000000","Barrera,Ida V."
"0000000000","Skill, Elaine Strong"
"0000007903","Par, Ma. Minerva P. Galicia"
"0000007903","Poly W. Sy"
"0000007904","Pulumbarit, Jose G."
"0000007904","Dominguez, Vilma S."
"0000007904","Morco, Ofelia M."
"0000007905","Misa, Estrellita L."
"0000007905","Torreliza, Elizabeth"
"0000007910","Haslam, Andrew"
"0000007911","Salandanan, Gloria G."
"0000007912","Alessi, StephenM."
"0000007916","Ary, Donald"
"0000000000","Packard, Edward"
"0000007921","Misa,Estrella L."
"0000007921","Li,Bernardino Q."
"0000007921","Barrera,Ida V."
"0000007921","Bones,Salita C."
"0000007922","Oronce,Orlando A."
"0000007922","Santos,Gil Nonato C."
"0000007923","Ancheta,Felicidad C"
"0000007923","Meneses,E.U."
"0000007924","Alba, Rene 1914"
"0000007925","Alba, Rene"
"0000007926","Alba, Rene"
"0000007927","Andres, Tomas D."
"0000007928","Andres, Tomas D."
"0000007930","Alcantara,Rebecca"
"0000007930","Cabanilla,Josefina Q."
"0000007931","Tullao,Tereso S. Jr."
"0000007932","Thani,Lokesh"
"0000007933","Ebalan,Ambrosio E."
"0000007934","De Guzman,Dionisia G."
"0000007934","Mangalinda,Fe S.J"
"0000007934","De Guzman,Cipriano E."
"0000007935","Leuterio,Florida C."
"0000007936","Manaois,German M."
"0000007937","Balagtas,Francisco"
"0000007937","Marcanina,Vilma R."
"0000007937","Semarlon,Teresita Perez"
"0000007938","Anastacio,Teresita M."
"0000007939","Belvez,Paz M."
"0000007939","Pagsanghan,Onfre R."
"0000007939","Roman,Guillermo Q."
"0000007940","Policarpio,Zenaida O."
"0000007940","Villegas,Enedina G."
"0000007941","Villafuerte,Pat V."
"0000007941","Espiritu,Clemencia C."
"0000007942","Cruz,Teresita C."
"0000007942","Javier,Jesus Q."
"0000007943","Cabuhat,Arturo Sebastian"
"0000007944","De Castro, Carlo A."
"0000007945","Dashefsky,H.Steve"
"0000007946","Hernandez, Dolores F."
"0000007947","Garcia,Grace Galangco"
"0000007947","Casidsid,Ruth Ferial"
"0000007947","Viceral,Antonio"
"0000007948","Gugol,Ma.Victoria A."
"0000007948","Lalunio,,Lydia"
"0000007948","Villarte,Fe U."
"0000007949","Lalunio,Lydia P."
"0000007949","Belvez,Paz M."
"0000007951","Milambiling,Ruben Maraviles"
"0000007951","Matulac,Maria Teresa Diaz"
"0000007952","Milambiling,Ruben M."
"0000007952","Diaz,Maria Teresa"
"0000007953","Padilla,Angelita C."
"0000007953","Eugenio,Marites A."
"0000007953","Cartel,Marquez T."
"0000007954","Parro,Alicia N. Ed.D"
"0000007954","Dizon,Evelyn C."
"0000007954","Gulpeo,Roberto P."
"0000007955","Parro,Alicia N."
"0000007955","Dizon,Evelyn C."
"0000007955","Gulpeo,Roberto P."
"0000007957","Amundsen, Kristen"
"0000007958","Aquino, gaudencio v."
"0000007960","Azeveda, Judy"
"0000007963","Munoz,Alen Mateo S."
"0000007963","De Vera,Caridad"
"0000007963","Fernandez,Leonida H."
"0000007964","Abana,Etelita P."
"0000007964","Curipag,Marian N."
"0000007965","Serrano,Josephine B."
"0000007965","Ames ,Trinidad M."
"0000007966","Quilala , Felicidad  Pilar"
"0000007966","Montealegre,Ma.Antoinette C."
"0000007966","Bilgera,Melchora D."
"0000007967","Davies,Hugh Sykes"
"0000007968","Dela Cruz,Edna M."
"0000007968","Flores,Magelende M."
"0000007968","Guevarra,Eufrocina A."
"0000007969","Madriaga,Ester R."
"0000007969","Dominguez,Leticia P."
"0000007969","Apano,Jesusita L."
"0000007969","Balazo,Iluminada C."
"0000007969","Jameres,Dolores F."
"0000007970","Batnag,Aurora E."
"0000007970","Flores,Rodolfo V."
"0000007970","Romero,Dolora C."
"0000007971","Tiongson,Rosemarie R."
"0000007972","Llanes,Ferdinand C."
"0000007973","Santiago,Aurora"
"0000007974","Leuterio,Dr.Florida C."
"0000007975","Santiago,Aurora L."
"0000007975","Moguigad,Rogelio B."
"0000007975","Alcaraz,Cid V."
"0000007975","Mendoza,Amelia S."
"0000007976","Santiago,Aurora L."
"0000007976","Flores,Rodolfo V."
"0000007977","Mitchell,Ruth"
"0000007982","Goode,Ruth"
"0000007983","Bauzon, Prisciliano T."
"0000007984","Forman,Carol"
"0000007985","Linnea,Sharon"
"0000007986","Auer,Jim"
"0000007987","Milton,Joyce"
"0000007988","Ratliff,Gerald Lee"
"0000007989","McCarthy,Frances"
"0000007990","Milton,Joyce"
"0000007991","Milton,Joyce"
"0000007992","Goodman,Michael"
"0000007993","Feingold,Michael"
"0000007994","Applegate,Katherine"
"0000007995","Danziger,Paula"
"0000007996","Willam,Kate"
"0000007997","Couldery,F.A.J"
"0000007999","Santiago,Aurora L."
"0000007999","Moguidad,Rogelio B."
"0000007999","Alcaraz,Cid V."
"0000007999","mendoza,Amelia S."
"0000008000","Wilkinson, Joseph W."
"0000008000","Cerullo, Michael J."
"0000008001","Lacsamana,Leodivico C."
"0000008002","Leonhardt,Many"
"0000008003","Newstrom,John W."
"0000008003","Scannel,Edward E."
"0000008006","Baran, Stanley J."
"0000008007","Mick,Lawrence E."
"0000008008","Bazagonov,M.S."
"0000008009","Hurley,Jo"
"0000008005","Baraceros, Esther L."
"0000008010","Bird,Polly"
"0000008010","Ellard,Katie"
"0000008011","Watson, Charles"
"0000008035","Watson, Charles"
"0000008035","Pascal, Francine"
"0000008036","Raymundo, Corazon M."
"0000008013","Canfield,Jack"
"0000008014","Sison, Perfecto S."
"0000008014","Payos, Ranulfo P."
"0000008014","Santos,Emmanuel"
"0000008037","Click, Phyllis"
"0000008038","Tan, Emma R."
"0000008017","Israel,Julita A."
"0000008018","Goldsborough, F."
"0000008019","Lennox,Marion"
"0000008020","Baker,Jennifer"
"0000008021","Rodriguez,K.S"
"0000008023","Anders,C.J."
"0000008024","Rowling, J.K."
"0000008025","Rowling ,J.K"
"0000008026","Roberts,Laura Poyton"
"0000008015","Lao, Felix M."
"0000008027","Krulik,Nancy"
"0000008016","Ashley, Stephen"
"0000008032","Pascal ,Francine"
"0000008033","Allan,Jeanns"
"0000008034","Daza,Jullie Yap"
"0000008034","Legarda,Katrina"
"0000008041","(The catholic university of america)"
"0000008042","John,Laurie"
"0000008043","Pascal,Francine"
"0000008036","Zablan, Zelda C."
"0000008044","Metz,Melinda"
"0000008045","Christie,Amanda"
"0000008049","Suzanne,Jamie"
"0000008050","Gilmour,H.B"
"0000008051","Laurel,Lisa kaye"
"0000008052","Anders, C.J."
"0000008053","Cullen, Peter"
"0000008054","Reisfeld,Randi"
"0000008055","Applegate, Katherine"
"0000008056","Berger, Melvin"
"0000008061","Berridge, H.R."
"0000008060","Berne, Eric"
"0000008058","Bishop, Jim"
"0000008063","Bishop, Jim"
"0000008059","Bers, Lipman"
"0000008059","Karal, Frank"
"0000008062","Aver,Jim"
"0000008086","Auer,Jim"
"0000008087","Morrice,Polly Alison"
"0000008088","Spring,Michael"
"0000008089","Baybay,Monina B."
"0000008090","Fuster,J.M"
"0000008091","Lesser,R.H."
"0000008092","Taylor,Justin"
"0000008093","Elbow,Peter"
"0000008093","Belanoff,Pat"
"0000008095","Aldanov,Mark"
"0000008097","A team of experts"
"0000008099","Alcantara,Rebecca"
"0000008099","Cabanilla,Josefina Q."
"0000008100","Biggs,Alton"
"0000008101","Suzanne,Jamie"
"0000008102","Suzanne,Jamie"
"0000008103","Suzanne,Jamie"
"0000008104","Suzanne,Jamie"
"0000008106","Suzanne,Jamie"
"0000008108","Suzzane,Jamie"
"0000008109","Suzanne,Jamie"
"0000008111","Corpuz,Jaime Salvador"
"0000008111","Bautista,Antonio"
"0000008111","Santos,Jose P."
"0000008112","Terban,Marvin"
"0000008113","Vails,Rachel"
"0000008114","Chritie,Amanda"
"0000008115","Vail,Rachel"
"0000008116","Suzanne,Jamie"
"0000008117","Vails,Rachel"
"0000008119","Kotas, Richard"
"0000008120","Suzanne,Jamie"
"0000008121","Borgna,Brunner"
"0000008122","Suzanne,Jamie"
"0000008124","Suzanne,Jamie"
"0000008125","Warner,Gertrude Chandler"
"0000008127","Ellerbee,Linda"
"0000008128","Warner,Gertrude Chandler"
"0000008130","Spencer,M.D."
"0000008131","Applegate,K.A."
"0000008132","Ellerbee,Linda"
"0000008133","Warner.Gertrude Chandler"
"0000008134","Applegate,K.A."
"0000008135","Applegate,K.A"
"0000008136","Applegate,K.A"
"0000008137","Applegate,K.A"
"0000008138","Dewey,Melvil,1851-1931"
"0000008140","Fraenkel, Jack R."
"0000008140","E. Norman"
"0000008140","Wallen, Norman E."
"0000008141","Carver, Angela R."
"0000008142","Dowding, Lesley"
"0000008142","Barr, Jill"
"0000008143","Cousins, John"
"0000008143","Foskett, David"
"0000008143","Gillespie, Cailein"
"0000008144","Cousins, John"
"0000008144","Foskett, David"
"0000008144","Gillespie, Cailein"
"0000008145","Jonsson,R.E."
"0000008146","Nicoll,Bruce"
"0000008147","Holland,William"
"0000008147","Scholar,Rhodes"
"0000008148","Morris,Darlene Bennett"
"0000008149","Morris,Darlene Bennett"
"0000008150","Skill,Elaine Strong"
"0000008151","Force,Lorraine M."
"0000008152","Dibble,Terry J."
"0000008153","Smith,Robert Kimmel"
"0000008154","A courseware of the business tech."
"0000008155","General editor Austin Flannery"
"0000008157","Held, Gilbert"
"0000008158","Catholic Bishops conference of the Phil."
"0000008159","Abriol,Mons. Jose C."
"0000008162","A team of Daughters of saint paul."
"0000008163","General ed., Austin Flanner."
"0000008165","ATSIL"
"0000008167","Ellerbee,Linda"
"0000008166","Del mar, Maxi"
"0000008168","Warner,Gertrude Chandler"
"0000008172","Paterno, Mania Elena"
"0000008172","Punongbayan, Raymundo S."
"0000008173","Merki,Mary Bronson"
"0000008174","Lorenzana, Carlos C."
"0000008175","Nocon, Ferdinand P."
"0000008175","Torrecampo, Joel T."
"0000008175","Daguia, Wilfredo B."
"0000008176","Lamorena, Melchora B."
"0000008177","Thompson,Frank H."
"0000008179","Paterno,Maria Elena"
"0000008179","De Ocampo,Roberto S."
"0000008179","Caberoz,Francisca F."
"0000008181","Merki,Mary Bronson"
"0000008182","Randall,Ronne"
"0000008183","Ghai,SK"
"0000008183","Brand waj,Nandito"
"0000008185","Baker, Kevin, 1949"
"0000008185","Hayton, Jeremy,     1946"
"0000008186","Baker, Sue 1952-"
"0000008186","Bradley, Pam, 1957-"
"0000008187","Sabhanwal,Bhavana"
"0000008189","Ghai,S.K"
"0000008189","Bhandwaj,Nandita"
"0000008190","Malkani,Vikas"
"0000008184","Aquino, Conrado P."
"0000008184","Deveza, Eduardo T."
"0000008191","Walia , M.M"
"0000008192","gHAI,s.k"
"0000008192","Bhandwaj,Nandita"
"0000008194","Fernandez,Aurelio"
"0000008194","Socias,James"
"0000008195","Malkani,Vikas"
"0000008196","Walia,M.W"
"0000008197","Edmark,Tomima"
"0000008186","Huyton, Jeremy, 1946"
"0000008198","Moloney,Francis J."
"0000008199","Sabharwal,Bhavana"
"0000008200","Law,Philip"
"0000008201","Malkani,Vikas"
"0000008203","Freyne , Sean"
"0000008204","Johnson,Lamont D.(Dee Lamont),1939"
"0000008204","Maddux,Cleborne D.,1942"
"0000008204","Liu,Leping"
"0000008205","Reyes,Flordeliza Clement"
"0000008188","Bhatia, A.K."
"0000008207","Miller,Joseph"
"0000000139","Aquino, Gaudencio V."
"0000008209","Alba,Rene"
"0000300148","Auvil, Daniel L."
"0000008210","Poluga, Charles"
"0000008211","Wepner,Shelley B.,1951"
"0000008211","Feeley,Joan T.,1932"
"0000008211","Strickland,Dorothy S.,"
"0000008212","Ghai,S.K"
"0000008212","Shardwaj ,Nandito"
"0000008213","Allen,James"
"0000008215","Soriano,Corazon"
"0000008215","Pulvinar,Sonia"
"0000008216","Brown, Judith E."
"0000008217","ed. Harris, Sarah"
"0000008218","Pulvinar,Sonia"
"0000008218","Soriano,Corazon"
"0000008219","Daniels,Rebecca"
"0000008221","Antonio,Eleanor D."
"0000008221","Oriondo,Leonora L."
"0000008221","Flora,Alegra S."
"0000008222","Vicencio,Evelina M."
"0000008222","Amparo,Edna A."
"0000008222","Cena,Veronica A."
"0000008223","Dahmer, Sandra M"
"0000008223","Kahl, Kurt W."
"0000008224","Vicencio,Evelina M."
"0000008226","Lianko,Aurora"
"0000008227","IMC"
"0000008228","Pedregosa,Elma F."
"0000008229","Yamson,Alice C."
"0000008230","Tiongson,Rosemarie Robles"
"0000008231","Philpot,sarah"
"0000008231","Vilches,Ma.luz"
"0000008231","Remoto,danton"
"0000008231","Ora'a,rosalinda"
"0000008232","Baltazar,Francisco,1788-1862"
"0000008233","Santiago,A.J."
"0000008235","Galauran,Arsenio J."
"0000008236","Saguilan,Arturo E."
"0000008236","Cruz,Roberto P."
"0000008236","Velas,Rogelio A."
"0000008236","Sauco,Consolacion P."
"0000008237","Baltazar,Francisco Balagtas"
"0000008238","Frias,Valeriana Cabasag"
"0000008239","Sanguineti,Juan Jose"
"0000008240","Artigas,Mariano"
"0000008242","Anstasi,Anne"
"0000008243","Aquino,Gandencio V."
"0000008244","Azanza,Rodolpo V."
"0000008244","Azanza,Rodolpo G."
"0000008244","Azanza,Rodolpo T."
"0000008245","Aquino,Gandencio V."
"0000008247","Ayson,Florentino G."
"0000008247","Reyes,Dolores Aligada"
"0000008248","Agbayani,Victor A.E"
"0000008249","Aguaviva,Erlinda M."
"0000008250","Amos,Jimmy R."
"0000008251","aquino,fe q."
"0000008252","Azanza,patrick alain"
"0000008253","Dahmer, Sondra J."
"0000008253","Kahl, Kurt W."
"0000008254","Dick, Garry"
"0000008256","Dittmer, Paul R."
"0000008257","Dittmer, Paul"
"0000008258","Azanza,Patrick Alain"
"0000008259","Alcantara, Rebecca D."
"0000008259","Cabanilla,Josefina Q."
"0000008261","Thorpe,Bee"
"0000008261","Helm,Robert M."
"0000008262","CABATO,CARMEN M."
"0000008262","TAMISEN,GLORIA D."
"0000008263","DE JESUS, LUISA M."
"0000008263","PEREZ,MA. CARMEN"
"0000008264","SALANDAN,GLORIA G."
"0000008265","LEUTERIO,FLORIDA C."
"0000008266","CAPUZ,RUFINO SR.B"
"0000008267","DIXON,FRANKLIN W."
"0000008268","SERRANO,JOSEPHINE B."
"0000008268","LAPID,MILAGROS O."
"0000008269","OWEN"
"0000008269","BALA"
"0000008269","CHEEKEE"
"0000008269","DELA ROSA"
"0000008269","VILENES"
"0000008270","ZAIDE,GREGORIO"
"0000008270","ZAIDE,SONIA M."
"0000008271","CRISTOBAL ,MIRASOL V."
"0000008271","TOVERA,MIRIAM GRACE G."
"0000008272","PULIDO,PAZ N."
"0000008273","MEILACH,DONA Z."
"0000008274","Ellis, George, 1942"
"0000008276","Feinstein, Andrew Hale"
"0000008276","Stefanelli, Joan M."
"0000008277","Fried-Kline, Sheryl"
"0000008277","Sullivan, William"
"0000008278","Gisslen, Wayne,1946"
"0000008281","belvez,pas m."
"0000008281","buensuceso,teresita c."
"0000008283","gripaldo,rolando m."
"0000008284","mariano,m."
"0000008285","balajadia,basilio p."
"0000008286","arceo,liwayway"
"0000008287","gilmour,h.b"
"0000008288","harris,william"
"0000008289","Lumbera, Bienvenido"
"0000008290","Evasco, Marjorie"
"0000008291","Kamien, Roger"
"0000008292","Bienvenido, Lumbera"
"0000008293","Ed., Churchill, Bernardita Reyes"
"0000008293","Gealogo, Francis A."
"0000008294","Grater, Michael"
"0000008295","Cerceda, Adolfo"
"0000008295","Palacios, Vicente"
"0000008296","Balisacan, Arsenio B."
"0000008296","Fujisaki, Shigeaki"
"0000008298","Buensuceso, Teresita S."
"0000008298","Burgos, Zenaida C."
"0000008299","Ed., by Rickaby, Mandy"
"0000008300","ED. BY Cooper, Helen Douglas"
"0000008300","Janneth, Andrrew Kerr"
"0000008301","Farndon, John"
"0000008302","Miller, Kenneth R."
"0000008303","Day, Trevor"
"0000008304","Kennedy, Marge"
"0000008305","Rodwell, Jenny"
"0000008306","Monahan, Patricia"
"0000008307","Seligman, Patricia"
"0000008308","Clouse, Wendy"
"0000008309","Jefferis, David"
"0000008309","Barrett, Norman ed.,"
"0000008310","Richards, Jon"
"0000008312","Steinbeck, John"
"0000008313","webb,mary"
"0000008314","maugham,w.somerset"
"0000008315","abrahams,peter"
"0000008316","whitney,norman"
"0000008317","steinbeck, john"
"0000008318","maugham, w. somerset"
"0000008319","prescott,richard"
"0000008320","amadi, elechi"
"0000008321","hardy,thomas"
"0000008322","tarner,margaret"
"0000008323","dickens,charles"
"0000008324","maugham, w. somerset"
"0000008325","bronte,emily"
"0000008326","doyle,sir arthur conan"
